T,rec_id,converged,num_converged,num_incomplete,num_not_converged,num_hit_maxiter,num_diverged,num_crashed,num_error_should_be_converged,num_no_data,best_N,best_m,best_iter,min_N_converged,min_m_converged,median_iter,converged_T
T20,35,yes,48,0,0,0,0,0,0,1,10,320,179.0,5,5,2845.0,
T20,36,yes,49,0,0,0,0,0,0,0,5,160,107.0,5,5,1771.0,
T20,37,yes,49,0,0,0,0,0,0,0,5,320,84.0,5,5,2550.0,
T20,38,yes,49,0,0,0,0,0,0,0,5,320,101.0,5,5,2178.0,
T20,39,yes,49,0,0,0,0,0,0,0,5,320,93.0,5,5,1375.0,
T20,40,yes,49,0,0,0,0,0,0,0,5,320,59.0,5,5,1476.0,
T20,41,yes,49,0,0,0,0,0,0,0,5,320,104.0,5,5,2209.0,
T20,42,yes,49,0,0,0,0,0,0,0,5,160,134.0,5,5,1995.0,
T20,43,yes,49,0,0,0,0,0,0,0,5,320,79.0,5,5,1518.0,
T20,44,yes,49,0,0,0,0,0,0,0,10,320,106.0,5,5,1953.0,
T20,45,yes,49,0,0,0,0,0,0,0,5,160,99.0,5,5,1774.0,
T20,46,yes,49,0,0,0,0,0,0,0,5,160,128.0,5,5,3220.0,
T20,47,yes,49,0,0,0,0,0,0,0,10,320,177.0,5,5,2962.0,
T20,48,yes,49,0,0,0,0,0,0,0,10,320,203.0,5,5,2808.0,
T20,49,yes,49,0,0,0,0,0,0,0,5,320,90.0,5,5,2298.0,
T20,50,yes,49,0,0,0,0,0,0,0,5,160,102.0,5,5,1504.0,
T20,51,yes,49,0,0,0,0,0,0,0,5,160,115.0,5,5,2246.0,
T20,52,yes,47,0,0,0,0,0,0,2,10,320,351.0,5,5,4602.0,
T20,53,yes,49,0,0,0,0,0,0,0,5,160,120.0,5,5,1942.0,
T20,54,yes,49,0,0,0,0,0,0,0,5,320,133.0,5,5,2361.0,
T20,55,yes,49,0,0,0,0,0,0,0,5,160,80.0,5,5,1916.0,
T20,56,yes,49,0,0,0,0,0,0,0,5,320,160.0,5,5,2652.0,
T20,57,yes,49,0,0,0,0,0,0,0,10,160,125.0,5,5,2556.0,
T20,58,yes,47,0,0,0,0,1,0,1,10,320,298.0,5,5,3481.0,
T20,59,yes,49,0,0,0,0,0,0,0,5,160,152.0,5,5,2573.0,
T20,60,yes,49,0,0,0,0,0,0,0,10,160,118.0,5,5,1625.0,
T20,61,yes,49,0,0,0,0,0,0,0,5,320,119.0,5,5,2203.0,
